timestamp,original_query,rewritten_query,selected_route
2025-05-13T02:21:39.852047,machine à caffé,machine à caffé,B (ViT-L/14)
2025-05-13T02:22:20.763972,y a t-il des machines à caffé dans le stock ?,y a t-il des machines à caffé dans le stock ?,B (ViT-L/14)
2025-05-13T02:30:42.819887,red hoodies for men,red hoodies for men,B (ViT-L/14)
2025-05-13T18:29:34.096125,red hoodies for men,red hoodies for men,B (ViT-L/14)
2025-05-14T00:32:19.585933,red hoodies for  men,red hoodies for  men,B (ViT-L/14)
2025-05-14T00:32:46.204162,red hoodies for men,red hoodies for men,B (ViT-L/14)
2025-05-14T00:34:02.201095,red hoodies for men,red hoodies for men,B (ViT-L/14)
2025-05-14T00:35:23.243876,red hoodies for men,red hoodies for men,B (ViT-L/14)
2025-05-14T00:35:32.393215,smart watch,smart watch,B (ViT-L/14)
2025-05-14T01:15:42.893904,asdfghjkl,asdfghjkl,B (ViT-L/14)
2025-05-14T01:15:58.111436,!!!???,!!!???,B (ViT-L/14)
